image_path,metadata,gender,sleeve_type
images/male/full_sleeve/585db9fe-1df0-458d-b218-6f514eabb9601553068826233-Mast--Harbour-Men-Shirts-4141553068825026-1.jpg,Mast & Harbour - Men Slim Fit Casual Sustainable Shirt - Rs. 734,male,full_sleeve
images/male/full_sleeve/779ac019-8b8c-48f7-9c5e-b3e2fe3004b01645166457327-Men-White-Casual-Shirt-5731645166456476-1.jpg,Roadster - Men Cotton Casual Shirt - Rs. 503,male,full_sleeve
images/male/full_sleeve/9a71effc-5ca8-4f56-94c0-2c71054102101566218377789-Roadster-Men-Shirts-8021566218376333-1.jpg,Roadster - Men Casual Shirt - Rs. 645,male,full_sleeve
images/male/full_sleeve/605acdc7-6157-48eb-84f0-27e432126c611591355165720-Mast--Harbour-Men-Shirts-4111591355163609-1.jpg,Mast & Harbour - Checked Regular Casual Sustainable Shirt - Rs. 679,male,full_sleeve
images/male/full_sleeve/fe1322b7-9e53-4b6e-8423-0a4f5a9e8b4b1565006161882-Roadster-Men-Shirts-8701565006159466-1.jpg,Roadster - Men Cotton Casual Shirt - Rs. 639,male,full_sleeve
images/male/full_sleeve/02fd5910-6f17-4bda-ba8f-ddf698c5cac81676013985849THEBEARHOUSEMenPurpleSlimFitCasualShirt4.jpg,THE BEAR HOUSE - Slim Fit Casual Shirt - Rs. 1122,male,full_sleeve
images/male/full_sleeve/49f8c1fa-a4aa-45a8-960f-c5ad8eae3fde1574328384416-Roadster-Men-Navy-Blue--Pink-Regular-Fit-Checked-Casual-Shir-1.jpg,Roadster - Regular Fit Indigo Checks - Rs. 664,male,full_sleeve
images/male/full_sleeve/2c88b5c6-2843-4d29-8716-796206d1b58d1647844696511-The-Indian-Garage-Co-Men-Shirts-8751647844696048-1.jpg,The Indian Garage Co - Comfort Checked Casual Shirt - Rs. 612,male,full_sleeve
images/male/full_sleeve/6ed96e57-cc9c-42f1-9fd8-9b4dc33faf1e1635928424159-Roadster-Men-Shirts-4871635928423562-1.jpg,Roadster - Men Pure Cotton Sustainable Casual Shirt - Rs. 454,male,full_sleeve
images/male/full_sleeve/11472636737718-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-1.jpg,Roadster - Printed Casual Shirt - Rs. 584,male,full_sleeve
images/male/full_sleeve/d570db49-94d1-4cc1-996a-b1c40d28a7561693149944837PowerlookMenGreyTartanChecksOpaqueCheckedCasualShirt1.jpg,Powerlook - Tartan Checked Casual Shirt - Rs. 863,male,full_sleeve
images/male/half_sleeve/2dd1cc94-8bed-4f0f-8c95-a785a9910a3c1665981279300HERENOWMenMulticolouredSlimFitPrintedCasualShirt1.jpg,HERE&NOW - Printed Slim Fit Casual Shirt - Rs. 719,male,half_sleeve
images/male/half_sleeve/1117fba1-137f-42ee-855a-07968c247ed31715768564648-Powerlook-Brown-India-Slim-Oversized-Self-Design-Textured-Cu-5.jpg,Powerlook -  - Rs. 839,male,half_sleeve
images/male/half_sleeve/fea1f924-737a-4289-8fe5-3192fffadc6d1684822192739-HERENOW-Men-Shirts-1361684822192349-1.jpg,HERE&NOW - Slim Fit Opaque Casual Shirt - Rs. 730,male,half_sleeve
images/male/half_sleeve/ec27eee6-d613-4423-8e0f-007aea1603c31662468109188Shirts1.jpg,HERE&NOW - Slim Fit Casual Shirt - Rs. 599,male,half_sleeve
images/male/half_sleeve/279e43a8-361f-4491-9177-a91b24364b551702574025215HERENOWMenBrownCasualShirt6.jpg,HERE&NOW - Ribbed Corduroy Casual Shirt - Rs. 899,male,half_sleeve
images/male/half_sleeve/7d0d31f0-77dd-4322-9eb2-0849c999e67b1712302470685HMMenLinenCottonShirt1.jpg,H&M - Men Regular Linen-Blend Shirt - Rs. 1299,male,half_sleeve
images/male/half_sleeve/c97d2a71-ab0f-47d3-8ed9-20d8c9132d7f1712575300006CLAFOUTISMenRelaxedOpaqueCasualShirt1.jpg,CLAFOUTIS - Striped Button Down Shirt - Rs. 799,male,half_sleeve
images/male/half_sleeve/aea2a163-725a-47a8-abbc-df0e7a1f1cf41695444899338HERENOWMenBlackOpaqueCasualShirt6.jpg,HERE&NOW - Corduroy Casual Shirt - Rs. 863,male,half_sleeve
images/male/half_sleeve/582b934a-4f6d-4a6b-ad92-3ab7b232dca11698929206267HERENOWMenNavyBlueSlimFitOpaqueStripedCasualShirt6.jpg,HERE&NOW - Cotton Casual Shirt - Rs. 747,male,half_sleeve
